nom,nb_hab_2010,nb_hab_2012,diff2012_2010
Sées,4446,4600,154
Cerbère,1446,1600,154
Barbizon,1346,1500,154
Sorgues,18046,18200,154
Cornimont,3546,3700,154
Saint-Michel-sur-Orge,20046,20200,154
Montigny-en-Gohelle,10047,10200,153
Sainte-Adresse,7548,7700,152
Soisy-sur-Seine,7048,7200,152
Pontoise,29548,29700,152
Héricourt,10349,10500,151
Tournus,5849,6000,151
Joigny,10249,10400,151
Hérimoncourt,3750,3900,150
Nyons,6950,7100,150
Commentry,6651,6800,149
Serquigny,2051,2200,149
Pézenas,8251,8400,149
Crolles,8451,8600,149
Le Chambon-Feugerolles,12851,13000,149
Le Ban-Saint-Martin,4252,4400,148
Schiltigheim,30952,31100,148
Cuxac-d'Aude,4253,4400,147
Cestas,16353,16500,147
Bédarieux,6453,6600,147
Varangéville,3953,4100,147
Gisors,11554,11700,146
Tournan-en-Brie,8054,8200,146
Chauvigny,6754,6900,146
Pontarlier,18456,18600,144
Méricourt,11956,12100,144
Sallaumines,9956,10100,144
Gonesse,26356,26500,144
Saint-Gratien,20156,20300,144
Capdenac-Gare,4457,4600,143
Fraisses,3958,4100,142
Templemars,3158,3300,142
Velleron,2958,3100,142
Villepinte,35658,35800,142
Bar-sur-Aube,5259,5400,141
Saint-Martin-des-Champs,4759,4900,141
Saint-Hilaire-du-Harcouët,3959,4100,141
Calonne-Ricouart,5759,5900,141
Aussillon,6459,6600,141
Sochaux,4060,4200,140
Méry-sur-Oise,9260,9400,140
Saint-Héand,3561,3700,139
Masny,4361,4500,139
Besse-et-Saint-Anastaise,1561,1700,139
Guebwiller,11461,11600,139
Souppes-sur-Loing,5561,5700,139
Longpont-sur-Orge,6561,6700,139
Carnoux-en-Provence,6862,7000,138
Pontcharra,7162,7300,138
Annœullin,9663,9800,137
Cesny-aux-Vignes,364,500,136
Châtillon-sur-Seine,5564,5700,136
Sainte-Menehould,4464,4600,136
Mutzig,5664,5800,136
Le Thillot,3664,3800,136
Noisy-le-Grand,62964,63100,136
Montpon-Ménestérol,5465,5600,135
Plouhinec,4165,4300,135
Lissieu,3065,3200,135
Fosses,9565,9700,135
Deauville,3866,4000,134
Saint-Georges-de-Luzençon,1567,1700,133
Thuir,7267,7400,133
Pont-de-Roide,4468,4600,132
Saint-Maur,3268,3400,132
Wittelsheim,10268,10400,132
Saint-Rémy,568,700,132
Marolles-en-Brie,4968,5100,132
Aubigny-sur-Nère,5769,5900,131
Granville,12969,13100,131
Marnaz,5169,5300,131
Eyragues,4170,4300,130
Montbrun-les-Bains,470,600,130
Senlis,16170,16300,130
La Londe-les-Maures,9870,10000,130
Bethoncourt,5971,6100,129
Aulnat,4171,4300,129
Grimaud,4171,4300,129
Saint-Florentin,4771,4900,129
Jeumont,9772,9900,128
Téteghem,7072,7200,128
Sarre-Union,3072,3200,128
Chambourcy,5872,6000,128
